episode,cumulative_reward,avg_latency_ms,total_actions,NOOP_count,FIRE_count,UP_count,DOWN_count,RIGHTFIRE_count,LEFTFIRE_count
1,2.0,23.904507160186768,1000,271,77,53,299,138,162
2,-8.0,24.326812982559204,1000,207,72,74,350,69,228
3,-20.0,24.128885555157336,867,71,51,95,308,59,282
4,-14.0,24.35688591003418,1000,173,112,120,290,70,235
5,1.0,24.32921814918518,1000,313,87,49,255,114,182
6,-8.0,24.518869638442993,1000,175,102,121,323,76,203
7,-12.0,24.63302254676819,1000,171,73,149,326,78,203
8,-20.0,24.57499612584727,879,95,66,93,262,48,314
9,2.0,24.401081562042236,1000,278,125,38,327,54,178
10,-20.0,24.503756730116404,986,87,80,110,321,69,318
11,-10.0,24.78084921836853,1000,258,38,22,336,75,271
12,-20.0,24.59147370748065,901,79,54,98,324,63,282
13,6.0,25.11202073097229,1000,347,81,52,272,134,114
14,4.0,24.948206186294556,1000,242,119,58,334,111,136
15,-11.0,24.91897201538086,1000,218,64,58,388,100,172
16,-10.0,24.012270212173462,1000,222,61,34,368,57,258
17,-13.0,24.887144327163696,1000,157,74,42,455,66,206
18,-13.0,25.071855068206787,1000,179,121,139,284,71,206
19,-12.0,25.358816623687744,1000,143,100,151,335,72,199
20,-13.0,24.935856342315674,1000,218,67,40,433,44,198
21,-6.0,24.91317367553711,1000,218,80,80,294,103,225
22,2.0,24.6552791595459,1000,255,109,79,304,109,144
23,-3.0,23.829562187194824,1000,223,81,63,309,130,194
24,0.0,24.086025953292847,1000,313,83,44,270,72,218
25,-21.0,24.789998322295297,901,88,55,179,282,52,244
26,-12.0,24.97232699394226,1000,173,78,185,305,56,203
27,-13.0,25.233489990234375,1000,161,84,152,334,65,204
28,3.0,25.032817602157593,1000,283,103,73,288,97,156
29,-5.0,24.852705240249634,1000,194,76,110,318,116,186
30,2.0,24.447793006896973,1000,309,87,65,307,94,138
31,1.0,24.318103075027466,1000,280,101,71,283,128,137
32,-15.0,24.48814630508423,1000,124,94,167,356,49,210
33,-15.0,24.542752265930176,1000,204,98,49,228,50,371
34,5.0,24.738149642944336,1000,342,91,58,283,72,154
35,-20.0,24.698050651858285,867,84,58,105,274,64,281
36,-16.0,25.063772439956665,1000,207,136,34,206,33,384
37,-21.0,24.51956016311318,932,65,96,120,330,45,275
38,-5.0,23.542447090148926,1000,290,83,62,314,86,165
39,-12.0,24.452349185943604,1000,168,85,136,335,68,208
40,-20.0,24.782246234370213,867,84,59,98,278,64,283
41,-4.0,24.802008390426636,1000,247,77,70,310,58,238
42,-18.0,24.885645866394043,1000,130,93,144,287,71,275
43,-12.0,25.040919542312622,1000,225,37,56,474,33,175
44,-13.0,24.88054060935974,1000,153,73,43,457,56,218
45,-1.0,23.904870986938477,1000,238,91,125,291,138,117
46,-5.0,24.13369607925415,1000,209,81,108,310,119,173
47,-12.0,24.585111379623413,1000,193,68,152,302,86,199
48,-12.0,24.822911977767944,1000,149,83,144,375,52,197
49,2.0,24.8436279296875,1000,278,85,76,322,107,132
50,-19.0,24.91062331199646,1000,101,47,96,367,90,299
51,1.0,24.574526071548462,1000,267,55,99,338,124,117
