episode_id,episode_length,episode_return,positive_rewards,negative_rewards,total_reward_magnitude,action_agreement_rate,repeated_frames,unique_actions,most_common_action
0,2738,1.0,21,20,41.0,0.9211102994886778,671,6,0
1,1975,-11.0,10,21,31.0,0.8956962025316456,503,6,0
2,2467,-1.0,20,21,41.0,0.9233887312525334,601,6,0
3,2831,2.0,21,19,40.0,0.9279406570116566,705,6,0
4,2095,14.0,21,7,28.0,0.9274463007159904,521,6,0
5,2325,11.0,21,10,31.0,0.9105376344086021,575,6,0
6,2014,15.0,21,6,27.0,0.9185700099304865,563,6,0
7,2842,-1.0,20,21,41.0,0.9092188599577762,709,6,0
8,2579,-3.0,18,21,39.0,0.9286545172547499,616,6,0
9,2948,-2.0,19,21,40.0,0.9165535956580733,749,6,0
10,2216,14.0,21,7,28.0,0.930956678700361,549,6,0
11,2288,12.0,21,9,30.0,0.9156468531468531,611,6,0
12,2500,-2.0,19,21,40.0,0.9208,603,6,0
13,2643,-2.0,19,21,40.0,0.9190314037079077,693,6,0
14,2409,-2.0,19,21,40.0,0.9215442092154421,599,6,0
15,2404,-2.0,19,21,40.0,0.9280366056572379,592,6,0
16,2499,-6.0,15,21,36.0,0.9099639855942377,622,6,0
17,2280,10.0,21,11,32.0,0.9298245614035088,562,6,0
18,1962,-10.0,11,21,32.0,0.9174311926605505,494,6,0
19,2472,8.0,21,13,34.0,0.9130258899676376,633,6,0
20,1984,-10.0,11,21,32.0,0.9183467741935484,498,6,0
21,2693,5.0,21,16,37.0,0.9249907166728556,691,6,0
22,2986,2.0,21,19,40.0,0.9263228399196249,758,6,0
23,2457,12.0,21,9,30.0,0.9312169312169312,557,6,0
24,2480,6.0,21,15,36.0,0.9185483870967742,598,6,0
25,2486,-2.0,19,21,40.0,0.914320193081255,620,6,0
26,2351,-7.0,14,21,35.0,0.9196086771586559,584,6,0
27,2145,-10.0,11,21,32.0,0.9179487179487179,486,6,0
28,2162,13.0,21,8,29.0,0.919981498612396,539,6,0
29,2664,5.0,21,16,37.0,0.9185435435435435,682,6,0
30,1993,16.0,21,5,26.0,0.9202207727044657,504,6,0
31,2406,-2.0,19,21,40.0,0.9197838736492103,604,6,0
32,2268,-9.0,12,21,33.0,0.9113756613756614,603,6,0
33,2548,5.0,21,16,37.0,0.9309262166405023,612,6,0
34,2407,10.0,21,11,32.0,0.9177399252181139,566,6,0
35,2205,12.0,21,9,30.0,0.9292517006802721,548,6,0
36,1900,16.0,21,5,26.0,0.9121052631578948,473,6,0
37,2415,-4.0,17,21,38.0,0.9188405797101449,607,6,0
38,2508,7.0,21,14,35.0,0.9218500797448166,604,6,0
